mse_average,mse_persistence,mse_rf
4.108449951009584,6.15469897500576,5.208001954517838
5.673129030607116,13.717896561517815,4.637364082591895
0.4614740666521858,0.7086349546067447,0.6791667128716125
0.4794820820562399,0.4593780223239924,0.49335170540036877
0.7610198115783803,0.78543598954946,0.8432184186967971
41.24116555921726,163.82642626342016,34.53474310762774
3.5632972577544444,1.0714000239183659,2.8321265269820097
1.4833567215426584,1.88928300352399,1.6390815611384724
1.0539683539669114,1.8009025898619409,0.7729315852827909
2.5886644893358954,6.515028957720565,2.710396575426244
2.6556503923353736,3.823353648432488,3.1901881280843094
0.5658977258125627,0.3147343939214515,0.7061084733957641
0.6593041848901755,0.6227670734426585,0.7349313001433171
0.5331461248252356,0.4940116920166167,0.5808958365210387
0.33801291370292336,0.31456329246805087,0.26691946073442907
0.5923979615585734,0.7047326459654462,0.6644510270872174
0.6966648139625502,0.4046791219520802,0.6027221585381101
1.2380420182737406,1.920386602863338,1.3748036869587317
0.43795995486914324,0.46547620826792035,0.461826640993986
0.4522665062587528,0.657516579901294,0.43736857145518204
9.996904852847013,14.469349446421509,8.53339794919945
0.7338044892321116,0.8766269629276435,0.7746027430272293
4.014305483197674,1.692193545090023,3.783125098001483
0.6372211970556535,0.8040713506489505,0.7265390529592572
0.5930616281322997,0.5299484128636809,0.448326830607962
0.2448166002316467,0.40153316414519147,0.2118443598498155
0.49508599041805806,0.8792966706524121,0.4485013348368862
0.8355424017093609,1.2598773189305763,1.0529194667642312
4.589308492427184,6.165285536223577,5.104560970928355
2.532809139569456,1.3802988306738304,2.600117722281644
